FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
29,Office and Administrative Support,3,4015,6%,0.0593035,23672,399167,4015,MO
29,"Farming, Fishing, and Forestry",3,187,5%,0.053521127,912,17040,187,MO
29,Construction and Extraction,3,1299,6%,0.063915403,8196,128232,1299,MO
29,"Installation, Maintenance, and Repair",3,955,8%,0.07628091,6981,91517,955,MO
29,Production,3,1946,8%,0.080785818,15248,188746,1946,MO
29,Transportation and Material Moving,3,1893,8%,0.08392966,15693,186978,1893,MO
29,Military Specific,3,85,4%,0.036621546,395,10786,85,MO
30,Management,3,672,6%,0.063961524,3471,54267,672,MT
30,Business and Financial Operations,3,171,5%,0.048327138,871,18023,171,MT
30,Computer and Mathematical,3,59,3%,0.034715677,221,6366,59,MT
30,Architecture and Engineering,3,68,0%,0,0,7057,68,MT
30,"Life, Physical, and Social Science",3,62,2%,0.022181373,181,8160,62,MT
30,Community and Social Services,3,82,4%,0.039716119,291,7327,82,MT
30,Legal,3,48,5%,0.054413543,270,4962,48,MT
30,"Education, Training, and Library",3,262,3%,0.02822026,636,22537,262,MT
30,"Arts, Design, Entertainment, Sports, and Media",3,64,5%,0.052590973,409,7777,64,MT
30,Healthcare Practitioners and Technical,3,249,5%,0.045645814,1139,24953,249,MT
30,Healthcare Support,3,99,9%,0.086818068,1036,11933,99,MT
30,Protective Service,3,84,6%,0.055852116,565,10116,84,MT
