city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
HOU,FSM,396,4.89,$252.26,AA,95.6,$257.15,AA,95.6,$257.15
HOU,FWA,965,3.48,$279.76,DL,56.3,$229.07,DL,56.3,$229.07
HOU,GEG,1716,22.93,$234.83,WN,100.0,$234.83,WN,100.0,$234.83
HOU,GFK,1266,0.87,$368.63,DL,87.5,$380.10,DL,87.5,$380.10
HOU,GJT,998,1.85,$255.65,AA,94.1,$264.27,AA,94.1,$264.27
HOU,GNV,782,5.00,$285.38,DL,91.3,$279.87,DL,91.3,$279.87
HOU,GPT,376,1.30,$330.36,AA,91.7,$332.93,AA,91.7,$332.93
HOU,GRB,1096,0.87,$226.50,DL,87.5,$235.39,DL,87.5,$235.39
HOU,GRR,1061,9.02,$333.90,WN,63.9,$285.23,WN,63.9,$285.23
HOU,GSO,995,18.59,$214.71,DL,90.1,$214.07,DL,90.1,$214.07
HOU,GSP,845,94.02,$193.62,WN,92.8,$188.50,WN,92.8,$188.50
HOU,GUC,905,0.11,$226.00,AA,100.0,$226.00,AA,100.0,$226.00
HOU,HDN,1006,0.54,$476.00,AA,80.0,$448.00,AA,80.0,$448.00
HOU,HPN,1444,5.22,$283.34,DL,95.8,$281.82,DL,95.8,$281.82
HOU,HRL,277,287.07,$135.86,WN,99.9,$135.88,WN,99.9,$135.88
HOU,ILM,1068,7.28,$247.24,DL,97.0,$248.76,DL,97.0,$248.76
HOU,IND,861,304.24,$234.19,FL,76.2,$243.22,WN,22.0,$200.25
HOU,ISN,1354,0.33,$519.02,DL,66.7,$608.50,DL,66.7,$608.50
HOU,ISP,1465,27.50,$194.95,WN,99.2,$193.43,WN,99.2,$193.43
HOU,ITH,1371,0.11,$114.00,DL,100.0,$114.00,DL,100.0,$114.00
HOU,JAN,359,187.93,$135.31,WN,98.4,$134.04,WN,98.4,$134.04
HOU,JFK,1428,334.02,$220.55,B6,98.5,$220.33,B6,98.5,$220.33
